Permission Name,Description,Privileged
PermissionsCareManagementUserAccess,Enable the Integrated Care Management User Access in a Salesforce org.,FALSE
PermissionsCarePlansAccess,Allows internal org users to access Care Plans objects and features.,FALSE
PermissionsCaseReferralAccess,Allows internal org users to access referral feature.,FALSE
PermissionsCCMCommunityAccess,Allows community users to access Composable Case Management objects and features.,FALSE
PermissionsCCUserHasBillingAccount,Manage Energy & Utilities Billing Accounts for Experience Cloud,FALSE
PermissionsCCUserHasEAndUProgramAccess,EU Experience Cloud User Program Access,FALSE
PermissionsCCUserHasEUCore,Manage Energy & Utilities Objects for Experience Cloud,FALSE
PermissionsCdcReportingCreateReports,Allow access to creating and editing reports in Data Cloud Reporting,FALSE
PermissionsCdcReportingManageFolders,Allow access to managing folders in Data Cloud Reporting,FALSE
PermissionsCdcReportingViewReports,Allow access to viewing reports in Data Cloud Reporting,FALSE
PermissionsChainOfCustodyUser,Manage Chain Of Custody Features,FALSE
PermissionsChangeDashboardColors,Change Dashboard Colors,FALSE
PermissionsChatterComposeUiCodesnippet,Allow Inclusion of Code Snippets from UI,FALSE
PermissionsChatterEditOwnPost,Edit My Own Posts,FALSE
PermissionsChatterEditOwnRecordPost,Edit Posts on Records I Own,FALSE
PermissionsChatterFileLink,Create Public Links,FALSE
PermissionsChatterInternalUser,Chatter Internal User,FALSE
PermissionsChatterInviteExternalUsers,Invite Customers To Chatter,FALSE
PermissionsChatterOwnGroups,Create and Own New Chatter Groups,FALSE
PermissionsCIPartnerIntegrationUser,Conversation Insights Partner Integration User,FALSE
PermissionsClauseDesigner,Allows clause designers to create and manage clauses,FALSE
PermissionsClauseDEUser,Allows users to use clauses in Digital Experience sites,FALSE
PermissionsClauseUser,Allows users to use clauses within documents,FALSE
PermissionsClientSecretRotation,Allow consumer key and secret rotation,TRUE
PermissionsCloseConversations,Close Conversation Threads,FALSE
PermissionsCMSECEAuthoringAccess,Migrate Enablement Content,FALSE
PermissionsCodeBuilderUser,Code Builder User,FALSE
PermissionsCombAuthAndCapPayments,Allow Sale Payments,FALSE
PermissionsCommerceTaxApiUser,Tax Api User,FALSE
PermissionsComplaintsManagementAccess,Provides access to Complaints Management features and objects.,FALSE
PermissionsCompleteChgRiskAssmt,Complete Change Risk Assessments,FALSE
PermissionsConfigCompliantDataSharing,Configure Compliant Data Sharing,FALSE
PermissionsConfigCustomRecs,Configure Custom Recommendations,FALSE
PermissionsConfigureCCTarget,Allow user to configure communication capping activation target.,FALSE
PermissionsConfigureCommunicationCapping,Allow user to configure communication capping.,FALSE
PermissionsConfigureDataspaceScope,Configure Dataspace Scope,FALSE
PermissionsConfigureLiveMessage,Configure Messaging,FALSE
PermissionsConnectOrgToEnvironmentHub,Connect Organization to Environment Hub,TRUE
PermissionsConsentApiUpdate,Update Consent Preferences Using REST API,TRUE
PermissionsContactInspectorUser,Access Contact Intelligence View in Partner Sites,FALSE
PermissionsContentAdministrator,Manage Salesforce CRM Content,FALSE
PermissionsContentHubUser,Files Connect Cloud,FALSE
PermissionsContentWorkspaces,Access Libraries,FALSE
PermissionsContextServiceAdmin,Context Service Admin user.,FALSE
PermissionsContextServiceEmbedAdmin,Context Service Embed Admin user.,FALSE
PermissionsContextServiceRuntime,Context Service Run time user.,FALSE
PermissionsContractorHasEUProgramAccess,Contractor Program Access,FALSE
PermissionsContractorHasWorkReportAccess,Manage Contractor Work Report,FALSE
PermissionsConvertLeads,Convert Leads,FALSE
PermissionsCoordinateClinicalTrials,Coordinate clinical trial tasks like candidate outreach programs.,FALSE
PermissionsCoordinateClnclTrialExprcUsr,Coordinate clinical trial tasks like candidate outreach programs as an Experience Cloud user.,FALSE
PermissionsCosellAuthSetupUser,Establish an Approved PRM External Integration,FALSE
PermissionsCosellExportUser,Export Vendor Records to an Authorized Partner Org,FALSE
PermissionsCreateAuditFields,Set Audit Fields upon Record Creation,FALSE
PermissionsCreateClosePlan,Allow access to Einstein Close Plan in Einstein Copilot,FALSE
PermissionsCreateCustomizeDashboards,Create and Customize Dashboards,FALSE
PermissionsCreateCustomizeFilters,Create and Customize List Views,FALSE
PermissionsCreateCustomizeReports,Create and Customize Reports,FALSE
PermissionsCreateDashboardFolders,Create Dashboard Folders,FALSE
PermissionsCreateDPEDefinitionWithDerivedFields,Create DPE Definition With Derived Fields,FALSE
PermissionsCreateEditNonSetupFlow,Create or Edit Flows,FALSE
PermissionsCreateLtngTempFolder,Create Folders for Lightning Email Templates,FALSE
PermissionsCreateLtngTempInPub,Manage Public Lightning Email Templates,FALSE
PermissionsCreateModActTrigNonSetupFlow,Create or Modify Activation-Triggered Flows,FALSE
PermissionsCreateModAutEvtNonSetupFlow,Create or Modify Automation Event-Triggered Flows,FALSE
PermissionsCreateModDGTrigNonSetupFlow,Create or Modify Flows with Data Graph Event Triggers,FALSE
PermissionsCreateModFormTrigNonSetupFlow,Create or Modify Form-Triggered Flows,FALSE
PermissionsCreateModSgmtTrigNonSetupFlow,Create or Modify Segment-Triggered Flows,FALSE
PermissionsCreateMultiforce,Create AppExchange Packages,TRUE
PermissionsCreatePackaging,Create AppExchange Packages,TRUE
PermissionsCreateReportFolders,Create Report Folders,FALSE
PermissionsCreateReportInLightning,Report Builder (Lightning Experience),FALSE
PermissionsCreateTopics,Create Topics,FALSE
PermissionsCreateUpdateSDDDataset,Create and Update Einstein Discovery Datasets,FALSE
PermissionsCreateUpdateSDDStory,Create and Update Einstein Discovery Models,FALSE
PermissionsCreateWorkBadgeDefinition,Create custom Badge Definitions,FALSE
PermissionsCreateWorkspaces,Create Libraries,FALSE
PermissionsCreditMemoAPIUser,Credit Memo API User,FALSE
PermissionsCustomAppsOnFSMobile,Custom Applications for Field Service Mobile,FALSE
PermissionsCustomizeApplication,Customize Application,TRUE
PermissionsCustomMobileAppsAccess,Access Custom Mobile Apps,FALSE
PermissionsCustomSidebarOnAllPages,Show Custom Sidebar On All Pages,FALSE
PermissionsDataExport,Weekly Data Export,TRUE
PermissionsDataPipelinesAppConsumer,Permission to access Data Pipelines license,FALSE
PermissionsDebugApex,Debug Apex,TRUE
PermissionsDecimalQuantityDesigntime,Decimal Quantity Design time Access,FALSE
PermissionsDecimalQuantityRuntime,Decimal Quantity Runtime Access,FALSE
PermissionsDecisionTableExecUserAccess,Run Decision Tables,FALSE
PermissionsDelegatedPortalUserAdmin,Delegated External User Administrator,TRUE
PermissionsDelegatedTwoFactor,Manage MFA in User Interface,FALSE
PermissionsDeleteActivatedContract,Delete Activated Contracts,FALSE
PermissionsDeleteCrMemoAndInvoice,Delete Credit Memo and Invoice,FALSE
PermissionsDeleteDraftAndCanceledInvoices,Allow Draft and Canceled Invoice Deletion,FALSE
PermissionsDeleteNonSetupFlow,Delete Flows,TRUE
PermissionsDeleteRevenueRecords,Allow Revenue Records Deletion,FALSE
PermissionsDeleteTopics,Delete Topics,FALSE
PermissionsDesignContextRule,Manage Context Rules,FALSE
PermissionsDfoAdminUser,System Administrator access for DRO,FALSE
PermissionsDFODesignerUser,Allows user to gain Fulfillment Designer level access to DRO,FALSE
PermissionsDFOManagerOperatorUser,Allows user to gain Fulfillment Manager or Fulfillment Operator level access to DRO,FALSE
PermissionsDigitalAgentUser,Use Custom Agents,FALSE
PermissionsDigitalLendingAdminUser,Digital Lending Admin User,FALSE
PermissionsDigitalLendingEditReadOnly,Digital Lending Edit Read Only Party Related Records,FALSE
PermissionsDigitalLendingIndiaAdminUser,Digital Lending India Admin User,FALSE
PermissionsDigitalLendingUser,Digital Lending User,FALSE
PermissionsDigitalLendingWorkbench,Digital Lending Workbench,FALSE
PermissionsDisbursementUserAccess,Grant users access to Benefit Disbursement features.,FALSE
PermissionsDistributeFromPersWksp,Create Content Deliveries,FALSE
PermissionsDocGenDesigner,Enables Designers to create Document Templates.,FALSE
PermissionsDocGenRuntimeCCUser,Enables Customers and Partners to generate documents via communities.,FALSE
PermissionsDocGenRuntimeUser,Enables Business users to generate documents.,FALSE
PermissionsDocumentAutomationUserAccess,User license to access IntelligentDocumentAutomation in Financial Services Cloud.,FALSE
PermissionsDocumentChecklistUserAccess,User license to access the Document Checklist features.,FALSE
PermissionsDocumentWorkspaceCmtyAccess,Permission to access Intelligent Document Workspace for community users,FALSE
PermissionsDocumentWorkspaceUserAccess,Permission to access Intelligent Document Workspace,FALSE
PermissionsDownloadPackageVersionZips,Download Package Version Zip Files,TRUE
PermissionsDROOrderSubmitInitiateUser,Submit Transactions User,FALSE
